vylovit+4	вытащить+из-под+l
očekávat+od+2	ждать+от+g
odvést+na+6	отвести+в+a
sežrat+4	сожрать+a
volit+7	выбирать+между+i
odnést+pro+4	отнести+в+a
dělat+na+4	производить+на+a
chtít+4	хотеть+a
vycházet+3	исходить+из+g
vést+o+6	вести+на+l
nalepovat+4	наклеивать+на+a
rozumět+3	понимать+a
ztěžovat+4	осложнять+g
jet+3	ехать+к+d
prověřovat+7	проверять+на+a
naplnit+4	наполнить+до+g
telefonovat+3	звонить+в+a
zařadit+do+2	включить+в+a
proběhnout+3	пробежать+к+d
přiblížit+3	приблизить+d
získat+od+2	получить+у+g
psát+7	писать+i
nanést+2	нанести+n
pohřbít+4	похоронить+a
konkurovat+7	конкурировать+с+i
dojít+4	дойти+до+g
přetvářet+4	преобразовывать+в+l
deformovat+4	искажать+a
rozhodnout+4	решить+a
prohrát+4	проиграть+a
česat+4	расчесывать+a
přežít+4	пережить+a
hnát+po+6	гнать+из+g
zabrat+4	занять+a
vařit+z+2	варить+из+g
čekat+na+4	ждать+в+l
zkoušet+7	репетировать+i
vyzradit+4	выдать+a
utéci+od+2	убежать+от+g
pověsit+3	повесить+по+d
vystoupit+proti+3	выступить+против+g
odříznout+od+2	отрезать+от+g
zahrnovat+do+2	включать+от+l
útočit+na+4	нападать+на+a
dopadnout+s+7	приземлиться+между+i
nabrat+2	набрать+g
vyhánět+4	выгонять+из+g
vytýkat+4	порицать+за+a
vpouštět+4	впускать+в+a
rozdávat+4	раздавать+g
zařídit+4	оборудовать+в+l
porodit+4	родить+g
zahnat+4	прогнать+n
zhoršit+4	ухудшить+a
navázat+s+7	завязать+с+i
uvítat+7	встретить+i
udělat+na+4	произвести+на+a
vzbudit+7	вызвать+i
pohybovat+7	шевелить+i
zanechat+4	оставить+после+g
zastupovat+3	представлять+в+l
přitáhnout+7	притянуть+к+d
vyhrát+proti+3	победить+в+l
uvést+7	привести+в+a
panovat+nad+7	владычествовать+над+i
získat+pro+4	привлечь+к+l
utratit+za+4	потратить+на+a
zbývat+3	оставаться+d
listovat+7	листать+a
uvažovat+nad+7	думать+над+i
zaměnit+4	подменить+n
vykřiknout+4	крикнуть+на+l
pokazit+7	испортить+i
nechávat+4	оставлять+a
zabít+3	убить+в+a
utíkat+od+2	бежать+от+g
narazit+o+4	налететь+на+a
nazývat+7	называть+i
osvojovat+4	усваивать+a
zdržet+4	задержать+a
vykládat+4	излагать+a
načrtnout+4	набросать+n
zvednout+proti+3	поднять+против+g
amputovat+4	ампутировать+a
dojet+4	доехать+до+g
vydat+na+4	отдать+на+a
utíkat+k+3	бежать+к+d
strhnout+7	сорвать+с+g
slyšet+od+2	слышать+от+g
spravit+4	починить+a
postavit+do+2	поставить+в+a
realizovat+4	реализовать+a
páchnout+7	вонять+i
napodobit+4	копировать+n
zapalovat+7	зажигать+i
kritizovat+za+4	критиковать+за+a
překvapit+7	удивить+i
jít+do+2	пойти+в+a
nalehnout+na+4	налечь+на+a
převažovat+nad+7	преобладать+над+i
dodržovat+4	соблюдать+a
umořovat+4	погашать+в+a
strkat+do+2	совать+в+a
povědět+3	рассказать+d
přemoci+4	победить+n
vynechat+4	обойти+в+l
stát+4	страна+a
zanechat+v+6	оставить+после+g
usadit+4	усадить+на+a
projít+4	пройти+по+d
poděkovat+3	поблагодарить+a
nalepit+na+4	наклеить+на+a
scházet+3	спускаться+на+a
poznamenávat+7	отмечать+i
pronásledovat+4	преследовать+a
kousat+4	грызть+a
postihnout+4	постигнуть+a
zdvihnout+4	поднять+a
oblékat+4	надевать+g
doplatit+na+4	поплатиться+за+a
předvádět+před+7	демонстрировать+в+l
polévat+7	заливать+i
shazovat+7	сбрасывать+с+g
domluvit+na+4	договориться+о+l
naznačovat+7	указывать+на+a
vydírat+4	шантажировать+g
vyjet+na+4	выехать+на+a
otřást+7	потрясти+a
působit+na+6	действовать+на+l
považovat+za+4	принимать+за+a
zamířit+7	направиться+к+d
sjednocovat+4	объединять+a
zavrhnout+4	отказаться+от+g
povalit+4	повалить+в+n
mít+k+3	держать+в+l
snižovat+4	сокращать+a
cvičit+4	упражняться+в+l
naložit+4	погрузить+в+a
přihodit+k+3	подкинуть+на+a
počítat+s+7	рассчитывать+на+a
přemítat+o+6	думать+о+l
povídat+o+6	говорить+о+l
mívat+4	иметь+a
debatovat+o+6	беседовать+о+l
rozdrtit+7	раздавить+i
učinit+7	сделать+i
rozhýbat+4	размять+n
naříkat+7	жаловаться+на+a
rozdělit+do+2	разделить+на+a
vylákat+4	выманить+a
založit+z+2	основать+на+l
vyřídit+4	передать+a
vychytat+4	выловить+a
zařvat+4	заорать+на+a
poukazovat+4	указывать+на+a
zkoumat+4	рассматривать+a
trápit+7	морить+i
utíkat+3	убегать+от+g
pozvedat+3	поднимать+a
přivést+do+2	привести+в+a
odrazovat+4	отбивать+у+g
přejít+v+4	перейти+на+a
nahradit+7	заменить+a
prolistovat+4	полистать+a
brát+za+4	брать+за+a
věnovat+4	подарить+a
určit+3	предназначить+для+g
prodávat+4	продавать+a
schválit+7	утвердить+путем+g
trpět+4	страдать+от+g
ovlivňovat+7	влиять+на+a
jet+s+7	поехать+с+i
zajistit+proti+3	защитить+от+g
bodat+4	тыкать+в+a
vypálit+po+6	сжечь+после+g
objíždět+4	объезжать+a
přiložit+na+4	наложить+на+a
ozdobit+4	украсить+a
střílet+7	стрелять+по+d
obdržet+z+2	получить+из+g
napájet+7	поить+с+i
vytasit+4	обнажить+a
zajet+na+4	съездить+на+l
pronajímat+4	сдавать+a
pracovat+7	работать+с+i
hostit+4	угощать+g
skočit+4	прыгнуть+под+a
odsoudit+k+3	обречь+на+a
rozevřít+4	раскрыть+a
přejít+7	перейти+из+g
stavět+na+4	ставить+перед+i
přijít+3	прийти+к+d
popravit+4	казнить+a
napovídat+o+6	подсказывать+про+a
přijít+7	прийти+к+d
hvízdat+4	свистеть+в+a
přitisknout+4	прижать+a
udat+3	донести+на+a
doběhnout+4	догнать+a
stěžovat+na+4	жаловаться+на+a
povídat+s+7	говорить+с+i
spát+s+7	спать+с+i
prosit+za+4	просить+от+g
činit+4	делать+a
zjistit+od+2	выяснить+у+g
svážet+4	свозить+a
končit+7	кончаться+i
zasáhnout+do+2	вмешаться+в+a
stěhovat+4	передвигать+a
opakovat+s+7	повторять+о+l
popsat+4	описать+a
držet+7	держать+в+l
koupit+pro+4	купить+для+g
vědět+4	знать+о+l
prověřit+4	проверить+g
dostat+v+6	получить+в+l
zápasit+o+4	бороться+за+a
ručit+za+4	ручаться+за+a
vstřebávat+4	поглощать+a
odpovídat+7	отвечать+i
zažívat+4	испытывать+n
vzít+o+4	взять+на+a
růst+do+2	расти+в+l
vzejít+z+2	возникнуть+из+n
sundat+4	снять+a
přejít+z+2	перейти+на+a
uzavřít+3	закрыть+для+g
propustit+4	уволить+g
jásat+7	ликовать+по+d
vyslovit+4	высказать+a
skrýt+4	скрыть+a
odsunout+4	отложить+в+a
pokládat+na+4	класть+на+a
ochutnávat+4	пробовать+n
kreslit+7	чертить+i
narážet+3	ударяться+в+a
vymetat+4	выметать+a
litovat+2	сожалеть+о+l
vylučovat+4	исключать+a
nahlédnout+na+4	заглянуть+на+a
ospravedlnit+4	оправдать+a
odcházet+od+2	уходить+от+g
napnout+4	натянуть+на+a
udělat+s+7	сделать+с+i
naložit+7	обойтись+с+i
vzít+od+2	взять+у+g
držet+2	держаться+за+a
představit+4	представить+a
volat+3	звонить+d
osvobodit+od+2	освободить+от+g
oznamovat+4	заявлять+о+l
vycházet+od+2	выходить+от+g
vypadat+na+4	выглядеть+на+a
dožívat+2	доживать+до+g
říci+5	сказать+n
slíbit+4	пообещать+n
nahrazovat+4	заменять+g
přejíždět+4	переезжать+в+a
jednat+3	поступать+вопреки+d
překročit+4	переступить+a
pracovat+na+6	работать+над+i
slibovat+3	обещать+d
připevnit+na+4	прикрепить+к+d
předložit+k+3	подать+на+a
strčit+3	сунуть+к+d
střelit+7	стрельнуть+из-под+g
působit+3	вызывать+a
obklíčit+4	окружить+n
vyžadovat+2	требовать+g
doplatit+4	поплатиться+за+a
předkládat+na+4	предъявлять+по+d
dospívat+k+3	приходить+к+d
podniknout+4	предпринять+a
potřebovat+na+4	нуждаться+в+l
manipulovat+s+7	манипулировать+посредством+g
zařazovat+do+2	вносить+в+l
činit+na+4	составлять+около+l
chodívat+4	ходить+к+d
přivézt+3	привезти+в+a
vyzdvihovat+4	подчеркивать+a
zvládnout+4	справиться+с+i
koupit+4	купить+a
dopadat+4	падать+на+a
přijít+s+7	прийти+в+a
vzít+3	взять+у+g
vykreslit+4	нарисовать+a
vypouštět+4	пускать+n
léčit+4	лечить+g
zhotovit+4	изготовить+a
opakovat+o+6	повторить+про+a
vylézt+z+2	вылезти+из+g
zmenšovat+4	уменьшать+a
nadávat+3	обзывать+n
přicházet+3	подходить+d
fouknout+do+2	дунуть+на+a
dělat+s+7	делать+с+i
chránit+2	защищать+от+g
vzít+4	взять+a
sbalit+4	уложить+a
procházet+7	проходить+через+a
volat+na+4	призывать+к+d
zneuctít+4	осквернить+a
dopustit+2	допустить+a
vařit+v+6	варить+в+l
brát+3	отнимать+у+g
vyhlédnout+4	выглянуть+из+g
oddělit+od+2	отделить+от+g
přebírat+za+4	принимать+на+a
řídit+7	управлять+i
prosit+2	просить+g
odstoupit+od+2	отойти+от+g
dorazit+7	добраться+до+g
dosazovat+4	назначать+a
omývat+4	мыть+a
unášet+4	похищать+g
přispět+k+3	внести+в+a
drtit+4	мять+a
stanovit+na+4	определить+на+l
natírat+4	смазывать+a
vkládat+4	вставлять+сквозь+a
přizvat+4	пригласить+в+a
dojet+na+4	доехать+до+g
vytrhovat+4	вырывать+из+g
přesunout+z+2	перебросить+с+g
vypnout+4	выключить+a
vinit+z+2	обвинять+в+l
nahrát+4	записать+a
vidět+7	видеть+i
klást+na+4	класть+на+a
postupovat+3	поступать+в+n
zavírat+4	закрывать+a
zkrotit+4	умерить+a
vytahovat+z+2	вытаскивать+из+g
vlézt+s+7	забраться+с+i
stavět+7	строить+i
vytvářet+4	создавать+a
dosahovat+v+6	достигать+в+l
zareagovat+na+4	отреагировать+на+a
nasadit+na+4	надеть+на+a
zadržet+v+6	задержать+в+l
snášet+s+7	терпеть+с+i
docílit+2	добиться+g
pohnout+7	шевельнуть+i
přijet+k+3	приехать+из+g
ozářit+4	осветить+a
jít+o+4	идти+о+l
přislíbit+3	обещать+d
dávat+3	давать+d
vypravovat+o+6	рассказывать+о+l
blokovat+4	блокировать+a
vyndat+4	вынуть+из+g
nakupovat+2	покупать+g
trestat+7	наказывать+i
převrátit+do+2	опрокинуть+в+a
otevřít+4	открыть+a
nalepit+4	наклеить+на+a
řvát+po+6	орать+на+a
jíst+4	есть+a
kráčet+k+3	идти+к+d
lhát+o+6	лгать+о+l
ohrožovat+4	угрожать+d
uspořádat+4	дать+n
montovat+4	устанавливать+n
začínat+7	начинаться+с+g
strhávat+z+2	срывать+с+g
sníst+4	съесть+a
skrývat+o+6	скрывать+за+i
myslit+o+6	думать+о+l
prodiskutovat+s+7	обсудить+с+i
podložit+7	основать+на+l
zářit+7	сиять+от+g
najmout+4	нанять+g
kopírovat+4	копировать+с+g
promítat+4	показывать+a
ranit+4	ранить+в+a
trestat+za+4	наказывать+за+a
vyhrávat+v+6	играть+на+l
uplést+z+2	сплести+из+g
žádat+od+2	требовать+от+g
vypracovat+na+4	составить+на+a
ukazovat+na+4	указывать+на+a
domluvit+4	договориться+о+l
způsobit+3	нанести+d
dostavět+4	достроить+n
rozestavit+4	расставить+перед+i
hraničit+s+7	граничить+с+i
přinést+4	принести+a
vybavit+3	оснастить+для+g
vytáhnout+4	вытащить+из+g
bojovat+o+4	бороться+за+a
vyjímat+z+2	исключать+из+g
užít+4	использовать+для+g
říkat+7	говорить+в+l
oslabit+4	ослабить+a
odvolávat+4	снимать+с+l
vložit+4	вложить+a
viset+na+6	висеть+на+l
dožít+2	дожить+до+g
zajít+4	зайти+в+a
zaklepat+7	постучать+i
schválit+v+6	утвердить+в+l
vypracovávat+4	разрабатывать+a
obrátit+proti+3	повернуть+к+d
nechávat+3	оставлять+i
strhnout+na+4	увлечь+за+i
pustit+4	отпустить+a
umřít+na+4	скончаться+после+g
oddělovat+4	отделять+g
obletět+4	облететь+a
promluvit+do+2	сказать+в+a
reformovat+4	реформировать+a
nabrat+na+4	набрать+на+a
plodit+4	порождать+a
mávnout+7	махнуть+i
podrobovat+3	подвергать+d
trpět+7	страдать+от+g
opakovat+4	повторять+a
pohřbívat+4	хоронить+a
prosazovat+4	настоять+на+l
honit+3	гоняться+за+i
sejít+3	спуститься+к+d
utéci+k+3	убежать+к+d
nutit+3	вызывать+n
zbavovat+4	лишать+g
ztratit+na+6	потерять+на+l
šířit+4	распространять+a
nastoupit+na+4	поступить+в+a
napomoci+v+6	помочь+в+l
zbystřit+4	напрячь+n
spotřebovávat+4	потреблять+a
zapínat+4	застегивать+a
zasahovat+do+2	вмешиваться+в+a
splynout+s+7	слиться+с+i
kupovat+3	покупать+d
odpovědět+za+4	ответить+за+a
prokázat+4	продемонстрировать+n
uctívat+4	поклоняться+d
spojit+7	объединить+под+i
žít+pro+4	жить+в+l
budit+4	вызывать+у+g
vyzkoušet+4	опробовать+a
probíhat+3	происходить+в+l
nahlížet+na+4	смотреть+на+a
chytat+4	ловить+a
otrávit+7	отравить+i
srovnat+na+4	сравнить+с+g
vzdorovat+3	сопротивляться+d
přiznat+4	признать+a
vodit+s+7	водить+за+i
uvítat+4	приветствовать+g
konzultovat+4	согласовывать+с+i
podrobit+4	подвергнуть+n
propůjčit+3	предоставить+d
odseknout+4	отрубить+от+g
dřímat+v+6	дремать+в+l
hrát+proti+3	играть+против+g
sestupovat+4	сходить+a
zavést+4	ввести+a
odvézt+na+4	отвезти+в+a
namluvit+3	внушить+d
zaútočit+proti+3	напасть+на+a
změkčovat+4	смягчать+n
vyhrát+4	победить+на+l
učit+3	учить+n
klást+3	ставить+a
sevřít+v+4	сжать+в+a
dovolovat+3	позволять+d
připoutat+7	привязать+к+d
minout+2	пройти+сквозь+a
dovážet+4	импортировать+n
zamést+4	замести+в+l
prodávat+3	продавать+к+d
vrátit+4	вернуть+a
odměňovat+4	вознаграждать+g
zveřejňovat+4	публиковать+g
vyjít+na+4	выйти+на+a
narážet+na+4	натыкаться+на+a
šlapat+do+2	топать+в+a
nést+k+3	нестись+к+d
přinášet+4	приносить+a
spatřit+4	увидеть+a
přiložit+4	приложить+a
nalézat+v+6	находить+в+l
umět+s+7	уметь+с+i
racionalizovat+4	рационализировать+g
trénovat+v+6	тренироваться+в+l
zdokonalovat+4	усовершенствовать+a
skoncovat+4	покончить+с+i
smést+4	стереть+с+g
nastoupit+4	поступить+в+a
promluvit+z+2	сказать+в+l
zachytit+2	поймать+на+l
vlastnit+4	владеть+i
ukrást+4	украсть+a
soudit+4	судить+о+l
ochraňovat+4	охранять+a
umývat+4	мыть+g
vyvolávat+4	вызывать+a
označit+7	пометить+i
unést+4	выдержать+a
odebírat+4	отбирать+g
vypadat+z+2	походить+на+a
otřít+4	вытереть+a
vyběhnout+4	выбежать+в+a
rozložit+4	развернуть+a
fantazírovat+o+6	фантазировать+о+l
obejmout+4	обнять+a
probouzet+k+3	пробуждать+к+d
muset+4	должен+a
splácet+4	выплачивать+a
kompenzovat+4	компенсировать+a
povstat+z+2	произойти+от+g
uposlechnout+2	повиноваться+d
mrštit+7	швырнуть+i
dojmout+7	тронуть+g
zavazovat+4	завязывать+a
shodit+4	сбросить+с+g
očistit+od+2	очистить+от+g
dovádět+4	доводить+n
polepit+4	оклеить+n
spát+7	спать+с+i
vzniknout+3	возникнуть+благодаря+d
utíkat+z+2	бежать+из+g
stát+před+7	стоять+перед+i
uchopit+4	схватить+a
rozptýlit+7	разбросать+по+d
srážet+4	сшибать+на+d
přerůst+4	перерасти+в+a
odcházet+3	отходить+d
obvinit+4	обвинить+в+l
zastavět+7	уставить+i
odsuzovat+4	осуждать+g
porušovat+4	нарушать+a
scházet+4	отсутствовать+в+a
vědět+na+4	знать+о+l
odvažovat+2	взвешивать+на+l
porozumět+3	понять+g
obrátit+v+6	повернуть+к+d
tvořit+3	составлять+около+l
přiznat+3	признать+a
přijmout+4	принять+a
odhánět+4	отгонять+a
počítat+za+4	считать+за+a
bít+o+4	биться+за+a
izolovat+4	изолировать+a
zůstávat+bez+2	оставаться+без+g
dělat+z+2	делать+из+g
odnést+4	отнести+a
přicházet+na+4	приходить+в+a
vystupovat+3	выступать+g
táhnout+3	тащить+к+d
určit+4	определить+a
popadnout+7	схватиться+i
zasednout+3	сесть+a
upoutat+4	привлечь+к+d
zneklidňovat+4	беспокоить+g
sundávat+4	снимать+a
zintenzívnit+4	усилить+n
odkázat+3	завещать+d
míchat+7	мешать+в+l
znárodnit+4	национализировать+g
pořádat+4	устраивать+в+l
potvrdit+v+6	подтвердить+для+g
strašit+4	стращать+g
padat+na+4	падать+на+a
zakotvit+4	закрепить+в+l
vyhovět+3	удовлетворить+a
poklesnout+z+2	упасть+относительно+g
dosáhnout+4	дотянуться+до+g
zastavit+na+4	остановиться+в+l
pospíchat+na+4	спешить+на+a
přetvářet+v+4	превращать+в+l
hlasovat+pro+4	голосовать+за+a
vyjíždět+4	выходить+на+a
postrčit+4	подтолкнуть+g
vylíčit+4	описать+a
hlídat+u+2	караулить+у+g
procházet+s+7	проходить+мимо+g
sdružovat+4	объединять+на+l
posílat+4	посылать+a
honit+za+7	гоняться+за+n
polykat+2	глотать+g
křiknout+7	крикнуть+i
jednat+v+6	действовать+в+l
spočívat+7	заключаться+в+l
zahnat+na+4	загнать+на+a
vykročit+na+4	выйти+на+a
zavést+na+4	ввести+после+g
omezit+na+4	ограничить+без+g
žalovat+3	жаловаться+d
rozmýšlet+4	думать+по+d
běžet+3	бежать+к+d
vyběhnout+na+4	выбежать+в+a
ulehčit+3	облегчить+a
zaplnit+7	заполнить+i
hrozit+2	грозить+g
utrpět+7	пострадать+от+g
zemřít+7	умереть+g
připočíst+3	добавить+к+d
pospíchat+k+3	спешить+на+a
pokynout+7	махнуть+i
hledět+na+4	смотреть+на+a
slíbit+za+4	обещать+за+a
polévat+4	заливать+a
stočit+4	свернуть+a
konkurovat+3	конкурировать+с+i
rozvíjet+4	развивать+a
projít+3	пройти+к+d
překonat+4	преодолеть+a
osvobodit+z+2	освободить+от+g
rozdělit+4	разделить+на+a
udržovat+7	поддерживать+с+i
stát+proti+3	стоять+против+g
zůstat+s+7	остаться+с+i
zavraždit+4	убить+g
zastávat+4	придерживаться+g
napravit+4	исправить+a
informovat+4	проинформировать+g
oteplovat+4	нагревать+a
zatížit+7	придавить+i
napojit+7	напоить+i
křiknout+4	крикнуть+a
vypěstovat+4	воспитать+в+l
vystřelit+7	выстрелить+в+a
nakládat+7	обращаться+с+i
vylézt+s+7	вылезти+с+i
padnout+7	упасть+на+a
tajit+o+6	скрывать+от+g
nadlehčit+4	облегчить+a
vyskakovat+z+2	вскакивать+с+g
nosit+na+4	носить+с+i
počínat+v+6	начинать+от+g
vést+proti+3	вести+против+g
hlasovat+4	голосовать+за+a
uložit+7	положить+в+l
fixovat+4	закрепить+в+l
točit+7	вертеть+a
zůstávat+s+7	оставаться+с+i
nastoupit+do+2	поступить+на+a
podpořit+4	поддержать+a
dodávat+do+2	поставлять+в+a
splňovat+4	удовлетворять+d
sdělit+4	сообщить+a
pohybovat+4	шевелить+i
vrazit+4	вонзить+в+a
přispět+3	внести+в+a
volat+o+4	звать+на+a
nakazit+7	заразить+i
vyznačovat+7	выделять+n
přivážet+4	привозить+i
brát+od+2	принимать+у+g
předsedat+3	председательствовать+над+i
nalézat+4	находить+n
dostat+na+6	получить+по+d
odpovědět+4	ответить+на+a
citovat+4	цитировать+g
odejít+od+2	отойти+от+g
naznačovat+o+6	указывать+на+a
říkat+o+6	говорить+о+l
odhlasovat+4	проголосовать+за+a
zdůvodnit+4	оправдать+a
doprovázet+k+3	провожать+до+g
sestoupit+na+4	спуститься+по+d
představovat+3	представлять+d
ohromit+7	изумить+i
narůstat+o+4	расти+на+l
sevřít+4	сжать+a
prchat+před+7	бежать+от+g
přenechat+4	уступить+a
zavřít+na+4	закрыть+за+i
letět+k+3	лететь+в+a
zahnout+3	свернуть+к+d
skrývat+pod+7	скрывать+под+i
rozkládat+4	раскладывать+a
složit+4	сложить+a
klepat+4	стучать+во+a
namáčet+4	макать+в+a
postavit+k+3	поставить+на+a
předurčit+3	предназначить+под+a
zbývat+2	оставаться+g
zvýšit+4	увеличить+a
přisunout+4	придвинуть+к+d
dopravit+7	переправить+на+a
vést+k+3	вести+к+d
bouchnout+7	хлопнуть+i
odejít+na+4	уйти+в+a
přenášet+z+2	передавать+по+d
udeřit+7	ударить+i
vyvádět+4	буйствовать+в+l
komentovat+4	комментировать+a
strčit+za+4	сунуть+в+a
zavinout+4	укутать+n
zarazit+7	остановить+i
objednávat+4	заказывать+a
zajistit+7	обеспечить+g
poskytovat+4	предоставлять+a
přepravovat+7	транспортировать+n
smíchat+4	смешать+a
vzrušit+7	возбудить+i
odlišovat+4	отличать+g
vyjít+4	выйти+на+a
instalovat+4	установить+в+l
uvést+4	привести+a
dovolit+4	позволить+a
posloužit+3	послужить+d
vydávat+na+4	тратить+на+a
zajíždět+s+7	въезжать+на+l
vyšetřit+4	расследовать+a
poroučet+3	приказывать+d
projíždět+4	проезжать+по+l
ucházet+o+4	уходить+в+a
vyplatit+4	выплатить+a
brousit+4	точить+a
překonat+7	преодолеть+с+i
zahajovat+4	начинать+a
číst+4	читать+a
probouzet+4	пробуждать+к+d
sklouznout+k+3	соскользнуть+по+d
míchat+4	мешать+a
vyrazit+z+2	выскочить+из+g
cpát+7	запихивать+в+a
proměnit+7	превратить+в+a
obdržet+na+4	получить+от+g
vystoupit+3	выступить+против+g
otravovat+4	отравлять+a
načechrat+4	взъерошить+a
odevzdat+4	отдать+a
svlékat+4	снимать+a
zacházet+v+6	обращаться+по+d
přivést+k+3	привести+к+d
honit+4	гоняться+за+i
pomoci+k+3	помочь+на+l
obracet+k+3	обращать+к+d
obývat+4	жить+в+l
přidržovat+4	придерживать+a
ovlivnit+v+6	повлиять+на+a
zřídit+4	создать+для+g
utvrzovat+v+6	утверждать+в+l
prohánět+4	гонять+a
vyjet+4	выехать+на+a
ztrojnásobit+4	утроить+g
svést+4	соблазнить+a
zlepšovat+4	улучшать+a
číst+o+6	читать+о+l
promluvit+s+7	выступить+на+l
navrátit+3	вернуть+к+d
mluvit+v+6	говорить+о+l
přikročit+k+3	подойти+к+d
dostát+3	сдержать+a
charakterizovat+4	характеризовать+n
křičet+na+4	кричать+на+a
vytáhnout+na+4	вытащить+на+a
upadat+do+2	впадать+в+a
téci+3	течь+из+g
dopravit+na+4	доставить+на+a
nasypat+4	насыпать+в+l
odvést+3	отвести+в+a
vypořádat+s+7	расправиться+с+i
nabízet+3	предлагать+d
říci+o+6	сказать+о+l
vypadávat+z+2	выпадать+из+g
čelit+3	противостоять+d
vyjasňovat+4	выяснять+a
uzavírat+4	заключать+a
myslit+s+7	думать+о+l
vzít+7	взять+i
založit+3	основать+на+l
odsunovat+4	отодвигать+g
předložit+3	подать+на+a
zahřívat+4	греть+в+l
mluvit+s+7	говорить+с+i
přejít+na+4	перейти+на+a
vyrážet+s+7	выдавливать+из+g
zaujímat+4	занимать+в+l
vysvětlit+4	объяснить+a
napomáhat+3	способствовать+d
klepat+o+4	стучать+о+l
navrhnout+4	предложить+a
odvádět+od+2	отвлекать+от+g
jet+na+6	ехать+на+l
rozšířit+4	расширить+a
dorůst+na+4	вырасти+на+l
snížit+o+4	сократить+к+l
dotvrzovat+4	подтверждать+n
pokrývat+4	покрывать+a
ničit+4	разрушать+a
připadnout+do+2	перейти+в+a
zavřít+7	закрыть+за+i
nahnat+4	нагнать+n
zvyšovat+4	увеличивать+a
ustoupit+od+2	отказаться+от+g
zajet+k+3	заехать+к+d
uzavřít+4	закрыть+a
rozložit+mezi+4	распределить+между+i
přijet+v+6	приехать+в+a
prásknout+7	хлопнуть+i
přivázat+4	привязать+a
poskytnout+3	предоставить+d
táhnout+s+7	тащить+к+d
přilákat+4	привлечь+a
nacházet+na+6	находить+на+l
pronikat+7	проникать+сквозь+a
seřadit+do+2	выстроить+в+a
podlehnout+3	поддаться+d
projít+s+7	пройти+сквозь+a
cenit+2	ценить+n
brát+na+4	брать+на+a
unavit+4	устать+от+g
vznikat+7	формироваться+благодаря+d
otevřít+3	открыть+для+g
pomoci+s+7	помочь+с+i
postupovat+4	продвигаться+к+d
brát+do+2	брать+в+a
vykonat+4	совершить+n
odhadovat+4	оценивать+в+l
podřídit+3	подчинить+g
ulovit+4	поймать+a
diktovat+3	диктовать+g
pomstít+4	отомстить+за+a
cvičit+v+6	упражняться+в+l
přeceňovat+4	переоценивать+a
utrácet+za+4	тратить+на+a
dovolovat+4	позволять+a
zajít+k+3	зайти+к+d
doplňovat+4	дополнять+n
tancovat+4	танцевать+без+g
poslouchat+z+2	слушать+со+i
vypustit+na+4	выпустить+на+a
vědět+z+2	знать+по+d
vyjasnit+4	выяснить+a
spojovat+4	сочетать+в+l
zavést+3	ввести+в+a
působit+4	действовать+на+a
diktovat+4	диктовать+a
roztrhat+na+4	разорвать+на+l
donutit+do+2	принудить+к+d
zvážit+4	оценить+a
vzdálit+3	отдалить+от+g
využít+2	воспользоваться+i
trhat+od+2	срывать+с+i
nazvat+4	назвать+n
převzít+2	принять+на+a
přijímat+za+4	принимать+за+a
zvednout+na+4	поднять+к+d
pohánět+4	двигать+i
pocházet+od+2	исходить+от+g
probírat+7	перебирать+a
dostávat+4	получать+a
přilévat+4	подливать+g
jít+s+7	пойти+с+i
zabavit+4	арестовать+g
šlapat+4	шагать+за+i
odletět+na+4	улететь+на+a
žasnout+nad+7	недоумевать+при+l
směřovat+na+4	направляться+на+a
sjíždět+7	скатываться+с+g
měnit+4	менять+a
hodit+3	бросить+d
ucházet+3	уходить+в+a
diverzifikovat+4	диверсифицировать+a
plavat+4	плавать+в+n
provádět+4	проводить+a
vykročit+7	зашагать+по+d
oslovit+4	обратиться+к+d
pobavit+4	позабавить+g
zanechat+2	оставить+после+g
obtěžovat+4	приставать+к+d
zazpívat+o+6	спеть+про+a
čerpat+z+2	черпать+из+g
rozlišovat+7	различать+g
zůstávat+v+6	оставаться+в+l
zatajovat+4	утаивать+a
zvažovat+4	взвешивать+a
bojovat+mezi+7	сражаться+за+a
přednášet+4	преподавать+в+l
přispět+7	внести+в+a
zůstat+bez+2	остаться+без+g
narážet+4	натыкаться+на+a
přikládat+3	придавать+d
iniciovat+4	инициировать+n
podrobovat+4	подвергать+n
upravit+7	подготовить+при+l
stavět+3	проводить+в+l
utéci+před+7	убежать+от+g
pojmenovat+4	назвать+a
pojistit+3	застраховать+от+g
spolupracovat+v+6	сотрудничать+в+l
skočit+pro+4	сбегать+за+i
omezit+7	ограничить+i
odzbrojit+4	разоружить+g
plnit+7	наполнять+при+l
foukat+do+2	дуть+в+a
kombinovat+4	сочетать+в+l
potrestat+7	наказать+в+l
skončit+7	закончиться+i
odvést+na+4	отвести+в+a
konsolidovat+4	консолидировать+a
poukazovat+7	указывать+на+a
ctít+4	чтить+g
zatelefonovat+3	позвонить+d
vyhazovat+4	вскидывать+a
skákat+pro+4	прыгать+в+a
pohlédnout+3	поглядеть+на+a
praštit+4	ударить+a
skončit+v+6	закончиться+в+l
ovlivnit+4	повлиять+на+a
poznat+2	узнать+по+d
přestoupit+k+3	перейти+в+a
chtít+na+4	хотеть+на+a
natočit+na+4	записать+на+a
předvolat+4	вызвать+a
odhazovat+4	бросать+a
zavěsit+4	привесить+к+d
koupit+od+2	купить+у+g
